IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50144, Puerto Destino: 443, Tamaño: 54, Info: 1711995697.524567000
IP Origen: 18.154.48.116, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50145, Tamaño: 54, Info: 1711995697.524613000
IP Origen: 18.154.48.116, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50145, Tamaño: 247, Info: 1711995697.524613000
IP Origen: 192.168.1.110, IP Destino: 18.154.48.116, Puerto Origen: 50145, Puerto Destino: 443, Tamaño: 128, Info: 1711995697.526100000
IP Origen: 192.168.1.110, IP Destino: 18.154.48.116, Puerto Origen: 50145, Puerto Destino: 443, Tamaño: 402, Info: 1711995697.526510000
IP Origen: 18.154.48.116, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50145, Tamaño: 60, Info: 1711995697.535090000
IP Origen: 18.154.48.116, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50145, Tamaño: 200, Info: 1711995697.535811000
IP Origen: 18.154.48.116, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50145, Tamaño: 470, Info: 1711995697.572935000
IP Origen: 192.168.1.110, IP Destino: 18.154.48.116, Puerto Origen: 50145, Puerto Destino: 443, Tamaño: 54, Info: 1711995697.572977000
IP Origen: 192.168.1.110, IP Destino: 18.154.48.116, Puerto Origen: 50145, Puerto Destino: 443, Tamaño: 94, Info: 1711995697.573256000
IP Origen: 192.168.1.110, IP Destino: 18.154.48.116, Puerto Origen: 50145, Puerto Destino: 443, Tamaño: 94, Info: 1711995697.573324000
IP Origen: 192.168.1.110, IP Destino: 18.154.48.116, Puerto Origen: 50145, Puerto Destino: 443, Tamaño: 54, Info: 1711995697.573392000
IP Origen: 18.154.48.116, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50145, Tamaño: 54, Info: 1711995697.582703000
IP Origen: 18.154.48.116, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50145, Tamaño: 54, Info: 1711995697.583098000
IP Origen: 192.168.1.110, IP Destino: 18.154.48.116, Puerto Origen: 50145, Puerto Destino: 443, Tamaño: 54, Info: 1711995697.583121000
IP Origen: 18.154.48.116, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50145, Tamaño: 54, Info: 1711995697.583385000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50146, Puerto Destino: 443, Tamaño: 62, Info: 1711995697.583782000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50146, Tamaño: 62, Info: 1711995697.594122000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50146, Puerto Destino: 443, Tamaño: 54, Info: 1711995697.594195000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50146, Puerto Destino: 443, Tamaño: 775, Info: 1711995697.597151000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50146, Tamaño: 54, Info: 1711995697.606920000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50146, Tamaño: 247, Info: 1711995697.608782000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50146, Puerto Destino: 443, Tamaño: 128, Info: 1711995697.610204000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50146, Puerto Destino: 443, Tamaño: 416, Info: 1711995697.610662000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50146, Tamaño: 60, Info: 1711995697.619882000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50146, Tamaño: 200, Info: 1711995697.620506000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50146, Tamaño: 60, Info: 1711995697.660278000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50146, Puerto Destino: 443, Tamaño: 54, Info: 1711995697.663756000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50146, Tamaño: 656, Info: 1711995697.714831000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50146, Puerto Destino: 443, Tamaño: 54, Info: 1711995697.757402000
IP Origen: 162.159.135.234, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 49636, Tamaño: 140, Info: 1711995698.132958000
IP Origen: 192.168.1.110, IP Destino: 162.159.135.234, Puerto Origen: 49636, Puerto Destino: 443, Tamaño: 54, Info: 1711995698.176723000
IP Origen: 192.168.1.110, IP Destino: 140.82.114.21, Puerto Origen: 50100, Puerto Destino: 443, Tamaño: 55, Info: 1711995698.455237000
IP Origen: 140.82.114.21, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50100, Tamaño: 66, Info: 1711995698.570021000
IP Origen: 192.168.1.110, IP Destino: 140.82.114.21, Puerto Origen: 50100, Puerto Destino: 443, Tamaño: 55, Info: 1711995699.579990000
IP Origen: 192.168.1.110, IP Destino: 35.223.238.178, Puerto Origen: 49873, Puerto Destino: 443, Tamaño: 55, Info: 1711995699.642889000
IP Origen: 140.82.114.21, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50100, Tamaño: 66, Info: 1711995699.693474000
IP Origen: 35.223.238.178, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 49873, Tamaño: 66, Info: 1711995699.758850000
IP Origen: 162.159.135.234, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 49636, Tamaño: 143, Info: 1711995700.181172000
IP Origen: 192.168.1.110, IP Destino: 162.159.135.234, Puerto Origen: 49636, Puerto Destino: 443, Tamaño: 54, Info: 1711995700.233787000
IP Origen: 192.168.1.110, IP Destino: 140.82.114.21, Puerto Origen: 50100, Puerto Destino: 443, Tamaño: 55, Info: 1711995700.697163000
IP Origen: 140.82.114.21, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50100, Tamaño: 66, Info: 1711995700.897220000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50137, Puerto Destino: 443, Tamaño: 94, Info: 1711995701.678730000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50137, Puerto Destino: 443, Tamaño: 94, Info: 1711995701.678999000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50137, Puerto Destino: 443, Tamaño: 54, Info: 1711995701.679162000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50137, Tamaño: 54, Info: 1711995701.690836000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50137, Tamaño: 54, Info: 1711995701.691110000
IP Origen: 192.168.1.110, IP Destino: 18.154.22.46, Puerto Origen: 50137, Puerto Destino: 443, Tamaño: 54, Info: 1711995701.691176000
IP Origen: 18.154.22.46, IP Destino: 192.168.1.110, Puerto Origen: 443, Puerto Destino: 50137, Tamaño: 54, Info: 1711995701.691566000
IP Origen: 192.168.1.110, IP Destino: 140.82.114.21, Puerto Origen: 50100, Puerto Destino: 443, Tamaño: 55, Info: 1711995701.908218000
